"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-09-24",,"91","54","55"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-09-25",,"86","55","58"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-09-26",,"79","47","47"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-09-27",,"83","47","52"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-09-28",,"86","52","54"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-09-29",,"86","54","54"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-09-30",,"85","52","55"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-12-01",,"44","9","24"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-12-02",,"62","21","24"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-12-03",,"68","21","21"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-12-04",,"42","21","39"
"USC00290377","AMISTAD 5 SSW, NM US","35.8741","-103.1819","1354.8","2022-12-05",,"60","37",
