2017-18 Attendance (School)  - All Students,,,,,,
School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days
Stoughton-Helen Hansen Elementary,02850010,  95.6,   7.6,  26.8,   9.4,  14.0
Stoughton-Joseph R Dawe Jr Elementary,02850014,  96.3,   6.5,  22.4,   6.8,  13.1
Stoughton-Stoughton High,02850505,  93.9,  10.5,  36.0,  14.7,  16.8
Stoughton-South Elementary,02850015,  96.3,   6.4,  22.6,   5.1,   8.2
Stoughton-West Elementary,02850020,  95.5,   7.5,  31.0,  10.8,  12.3
Stoughton-Joseph H Gibbons,02850025,  95.8,   7.3,  25.9,   5.5,  13.2
Stoughton-O'Donnell Middle School,02850405,  96.0,   7.0,  23.6,   7.9,  10.8
Sturbridge-Burgess Elementary,02870005,  96.4,   6.2,  20.0,   4.3,  20.0
Sturgis Charter Public (District)-Sturgis Charter Public School,04890505,  94.0,  10.3,  42.2,  15.0,  31.9
Sudbury-Peter Noyes,02880030,  96.5,   6.2,  20.3,   5.7,   2.7
Sudbury-General John Nixon Elementary,02880025,  96.8,   5.7,  17.9,   2.3,   2.0
Sudbury-Israel Loring School,02880015,  96.3,   6.5,  21.0,   4.5,   3.2
Sudbury-Ephraim Curtis Middle,02880305,  96.3,   6.6,  20.1,   4.5,   0.8
Sudbury-Josiah Haynes,02880010,  96.8,   5.8,  19.4,   2.1,   1.6
Sunderland-Sunderland Elementary,02890005,  96.2,   6.5,  23.5,   5.3,  12.1
Sutton-Sutton Middle School,02900305,  96.4,   6.5,  22.0,   4.9,   9.2
Sutton-Sutton Elementary,02900005,  96.4,   6.5,  19.6,   4.8,   0.0
Sutton-Sutton Early Learning,02900003,  95.3,   8.2,  30.6,   7.5,   0.0
Sutton-Sutton High School,02900510,  94.9,   8.8,  33.4,  11.6,  15.3
Swampscott-Swampscott High,02910505,  93.6,  11.1,  43.5,  18.9,  28.9
Swampscott-Swampscott Middle,02910305,  96.2,   6.7,  26.0,   5.3,  21.0
Swampscott-Stanley,02910020,  96.1,   6.9,  26.1,   3.0,  25.8
Swampscott-Hadley,02910010,  95.2,   8.3,  30.9,   9.4,  30.9
Swampscott-Clarke,02910005,  95.6,   7.7,  33.2,   7.4,  33.2
Swansea-Joseph Case Jr High,02920305,  94.4,   9.9,  39.2,  12.7,  21.9
Swansea-Joseph G Luther,02920020,  95.8,   7.4,  30.2,   7.3,  27.2
Swansea-Mark G Hoyle Elementary,02920017,  94.7,   9.0,  33.6,  12.0,  27.4
Swansea-Gardner,02920015,  95.0,   8.9,  36.2,   7.9,  15.8
Swansea-Joseph Case High,02920505,  93.7,  11.1,  37.5,  17.7,  18.6
Swansea-Elizabeth S Brown,02920006,  95.4,   8.2,  29.5,   7.1,  14.2
TEC Connections Academy Commonwealth Virtual School District-TEC Connections Academy Commonwealth Virtual School,39020900,  87.7,  16.9,  37.3,  35.1,  24.3
Tantasqua-Tantasqua Regional Sr High,07700505,  95.4,   7.9,  27.9,  11.2,   0.0
Tantasqua-Tantasqua Regional Vocational,07700605,  93.8,  10.8,  41.0,  16.8,   0.0
Tantasqua-Tantasqua Regional Jr High,07700405,  94.9,   9.0,  35.0,  11.9,   0.0
Taunton-Hopewell,02930035,  94.8,   9.0,  38.4,  13.5,  30.1
Taunton-Taunton Alternative High School,02930525,  76.0,  38.0,  79.0,  75.0,  78.0
Taunton-Taunton High,02930505,  92.3,  13.1,  44.7,  23.1,  38.1
Taunton-Benjamin Friedman Middle,02930315,  95.1,   8.6,  35.2,  11.0,  25.4
Taunton-John F Parker Middle,02930305,  94.9,   8.7,  37.1,  12.5,  30.3
Taunton-H H Galligan,02930057,  94.7,   8.9,  37.1,  14.3,  29.5
Taunton-Joseph H Martin,02930042,  95.3,   8.1,  32.3,   9.7,  24.5
Taunton-Elizabeth Pole,02930027,  94.3,   9.5,  41.1,  13.0,  30.1
Taunton-Mulcahey Elementary School,02930015,  94.8,   8.8,  34.8,  11.2,  25.4
Taunton-East Taunton Elementary,02930010,  95.5,   7.8,  30.3,   6.4,  24.2
Taunton-Joseph C Chamberlain,02930008,  95.3,   8.2,  31.8,   6.0,  23.5
Taunton-Edmund Hatch Bennett,02930007,  95.6,   7.6,  28.9,   5.1,  19.0
Taunton-Edward F. Leddy Preschool,02930005,  94.4,   8.8,  29.8,  12.9,  26.8
Tewksbury-North Street,02950020,  96.0,   6.9,  18.1,   6.5,  16.0
Tewksbury-Heath-Brook,02950010,  95.9,   7.2,  23.3,   4.3,  12.8
Tewksbury-John W. Wynn Middle,02950305,  94.4,   9.9,  34.7,  10.3,  15.2
Tewksbury-Tewksbury Memorial High,02950505,  94.5,   9.4,  29.2,  12.0,   6.1
Tewksbury-L F Dewing,02950001,  96.4,   6.2,  20.7,   6.0,  11.4
Tewksbury-Louise Davy Trahan,02950025,  96.6,   6.1,  21.7,   3.4,  17.0
Tewksbury-John F. Ryan,02950023,  96.4,   6.3,  20.2,   4.0,  13.0
Tisbury-Tisbury Elementary,02960005,  94.1,  10.0,  43.1,  13.8,   0.0
Topsfield-Steward Elementary,02980010,  96.3,   6.6,  25.1,   2.6,   0.0
Topsfield-Proctor Elementary,02980005,  96.8,   5.7,  15.5,   2.3,   0.0
Tri-County Regional Vocational Technical-Tri-County Regional Vocational Technical,08780605,  94.2,  10.4,  40.0,  14.8,   0.0
Triton-Triton Regional Middle School,07730405,  94.6,   9.4,  35.3,  11.1,  17.3
Triton-Pine Grove,07730025,  95.2,   8.1,  32.5,   9.7,  27.2
Triton-Triton Regional High School,07730505,  93.6,  11.1,  38.5,  16.4,  11.3
Triton-Newbury Elementary,07730020,  95.3,   8.1,  31.8,   6.5,  25.8
Triton-Salisbury Elementary,07730015,  94.4,   9.2,  40.0,  16.3,  34.3
Truro-Truro Central,03000005,  93.7,  10.9,  44.5,  13.6,   0.9
Tyngsborough-Tyngsborough Middle,03010305,  95.9,   7.2,  21.3,   6.5,   0.0
Tyngsborough-Tyngsborough Elementary,03010020,  95.7,   7.5,  28.0,   6.1,   0.0
Tyngsborough-Tyngsborough High School,03010505,  94.4,  10.0,  35.7,  14.4,   0.0
UP Academy Charter School of Boston (District)-UP Academy Charter School of Boston,04800405,  93.0,  12.4,  50.7,  23.2,  39.4
UP Academy Charter School of Dorchester (District)-UP Academy Charter School of Dorchester,35050405,  94.9,   9.2,  35.9,  13.2,  31.9
Up-Island Regional-West Tisbury Elementary,07740020,  94.0,  10.4,  46.0,  15.5,  21.5
Up-Island Regional-Chilmark Elementary,07740010,  94.4,   9.9,  53.8,   5.8,  53.8
Upper Cape Cod Regional Vocational Technical-Upper Cape Cod Vocational Technical,08790605,  95.1,   8.8,  30.4,  11.7,  12.7
Uxbridge-Gateway to College,03040515, 100.0,   0.0,   0.0,   0.0,   0.0
Uxbridge-Whitin Elementary School,03040020,  95.5,   7.9,  30.0,   7.4,   4.9
Uxbridge-McCloskey Middle School,03040015,  94.5,   9.7,  39.4,  11.9,  19.0
Uxbridge-Taft Early Learning Center,03040005,  94.7,   8.4,  34.7,  11.4,   9.3
Uxbridge-Uxbridge High,03040505,  94.1,  10.1,  38.3,  16.0,  11.7
Veritas Preparatory Charter School (District)-Veritas Preparatory Charter School,04980405,  94.1,  10.6,  45.1,  15.6,  30.7
Wachusett-Glenwood Elementary School,07750060,  96.1,   7.0,  24.6,   5.7,   0.0
Wachusett-Thomas Prince,07750045,  96.2,   6.8,  22.2,   4.9,   0.0
Wachusett-Leroy E.Mayo,07750032,  96.5,   6.3,  18.7,   3.5,   0.0
Wachusett-Houghton Elementary,07750027,  96.0,   7.0,  24.5,   5.3,   0.0
Wachusett-Dawson,07750020,  96.8,   5.7,  16.5,   3.6,   0.0
Wachusett-Davis Hill Elementary,07750018,  95.7,   7.6,  27.6,   5.6,   0.0
Wachusett-Naquag Elementary School,07750005,  96.0,   7.1,  24.3,   5.7,   0.0
Wachusett-Early Childhood Center,07750001,  93.8,   7.3,  22.2,  17.5,   0.0
Wachusett-Chocksett Middle School,07750315,  95.7,   7.7,  29.5,   6.5,   0.0
Wachusett-Wachusett Regional High,07750505,  95.8,   7.4,  23.0,   6.3,   0.0
Wachusett-Central Tree Middle,07750310,  96.0,   7.1,  27.7,   6.4,   0.0
Wachusett-Mountview Middle,07750305,  96.4,   6.4,  20.4,   4.6,   0.0
Wachusett-Paxton Center,07750040,  96.5,   6.3,  18.2,   4.6,   0.0
Wakefield-Wakefield Memorial High,03050505,  93.9,  10.6,  34.8,  14.6,   0.0
Wakefield-Galvin Middle School,03050310,  96.2,   6.7,  21.4,   5.4,   0.0
Wakefield-Walton,03050040,  96.5,   6.1,  18.9,   3.8,   0.0
Wakefield-Woodville School,03050015,  95.9,   7.2,  24.3,   5.4,   0.0
Wakefield-Dolbeare,03050005,  95.9,   7.3,  26.3,   4.2,   0.0
Wakefield-Early Childhood Center at the Doyle School,03050001,  94.4,   8.0,  28.7,  16.8,   0.0
Wakefield-Greenwood,03050020,  97.0,   5.4,  15.7,   1.3,   0.0
Wales-Wales Elementary,03060005,  96.2,   6.5,  20.8,   8.3,  20.2
Walpole-Elm Street School,03070005,  96.5,   6.3,  20.2,   4.1,  15.2
Walpole-Walpole High,03070505,  94.9,   9.0,  31.1,  10.9,  15.9
Walpole-Bird Middle,03070305,  96.2,   6.8,  21.6,   4.5,  16.1
Walpole-Old Post Road,03070018,  96.8,   5.7,  16.2,   1.6,  11.3
Walpole-Fisher,03070015,  96.7,   5.9,  19.2,   2.8,   1.5
Walpole-Daniel Feeney Preschool Center,03070002,  95.0,   8.0,  31.4,  16.3,  31.4
Walpole-Boyden,03070010,  96.4,   6.4,  18.2,   3.3,  15.7
Walpole-Eleanor N Johnson Middle,03070310,  96.4,   6.5,  19.2,   3.6,   9.1
Waltham-Waltham Sr High,03080505,  91.9,  13.7,  45.9,  24.6,  36.8
Waltham-Northeast Elementary School,03080040,  95.2,   7.8,  27.1,  12.0,  24.4
Waltham-John F Kennedy Middle,03080404,  95.3,   8.1,  26.2,   9.1,  18.8
Waltham-Henry Whittemore Elementary School,03080065,  95.6,   7.5,  29.3,  10.3,  26.4
Waltham-James Fitzgerald Elementary School,03080060,  96.6,   5.9,  17.9,   4.2,  15.5
Waltham-Thomas R Plympton Elementary School,03080050,  95.8,   7.3,  27.4,  10.0,  24.2
Waltham-John W. McDevitt Middle School,03080415,  96.4,   6.4,  22.3,   5.6,  17.4
Waltham-Douglas MacArthur Elementary School,03080032,  96.1,   6.7,  24.8,   8.5,  19.3
Waltham-William F. Stanley Elementary School,03080005,  96.1,   6.5,  20.4,   8.0,  17.3
Waltham-Waltham Public Schools Dual Language Program,03080001,  96.6,   6.1,  21.5,   2.5,  19.0
Ware-Ware Junior/Senior High School,03090505,  92.0,  13.8,  47.0,  25.3,  23.0
Ware-Stanley M Koziol Elementary School,03090020,  94.7,   8.2,  30.9,  14.1,  13.0
Ware-Ware Middle School,03090305,  94.4,   9.8,  37.1,  13.7,  11.4
Wareham-Wareham Senior High,03100505,  94.1,  10.2,  35.1,  17.8,  10.8
Wareham-Wareham Middle,03100305,  93.7,  11.0,  43.3,  19.8,  29.9
Wareham-Minot Forest,03100017,  94.2,   9.7,  41.2,  17.2,  26.8
Wareham-Wareham Cooperative Alternative School,03100315,  92.8,  10.7,  47.9,  27.4,  34.2
Wareham-John William Decas,03100003,  94.0,  10.2,  38.1,  15.3,  22.2
Watertown-Watertown Middle,03140305,  95.7,   7.6,  28.6,   9.6,  12.8
Watertown-Watertown High,03140505,  94.3,   9.7,  35.7,  14.1,   0.0
Watertown-Cunniff,03140015,  95.4,   8.0,  31.9,   9.6,   0.0
Watertown-Hosmer,03140020,  95.6,   7.5,  27.2,   9.1,  13.7
Watertown-James Russell Lowell,03140025,  95.3,   8.2,  30.3,   8.7,  24.2
Wayland-Claypit Hill School,03150005,  97.0,   5.4,  14.8,   1.1,   0.0
Wayland-Wayland High School,03150505,  95.4,   8.0,  27.1,   8.4,   0.2
Wayland-Happy Hollow School,03150015,  98.4,   2.8,   1.5,   0.0,   0.0
Wayland-Loker School,03150020,  98.1,   3.3,   3.1,   1.0,   0.0
Wayland-Wayland Middle School,03150305,  96.1,   7.0,  26.7,   6.4,   0.2
Webster-Webster Middle School,03160315,  93.6,  10.8,  41.8,  20.0,   0.0
Webster-Bartlett High School,03160505,  91.8,  13.8,  46.6,  28.2,   1.1
Webster-Park Avenue Elementary,03160015,  94.6,   9.0,  34.2,  14.6,   0.0
Wellesley-Sprague Elementary School,03170048,  96.4,   6.5,  21.8,   3.9,   0.0
Wellesley-Schofield,03170045,  96.4,   6.4,  20.4,   2.1,   0.0
Wellesley-John D Hardy,03170020,  96.4,   6.3,  21.0,   3.7,   0.0
Wellesley-Joseph E Fiske,03170015,  95.7,   7.4,  27.8,   8.3,   0.0
Wellesley-Katharine Lee Bates,03170005,  96.4,   6.5,  21.0,   3.8,   0.0
Wellesley-Ernest F Upham,03170050,  96.3,   6.7,  22.4,   4.2,   0.0
Wellesley-Wellesley Middle,03170305,  95.8,   7.5,  26.5,   7.4,   0.0
Wellesley-Wellesley Sr High,03170505,  93.4,  11.5,  40.3,  22.0,   0.8
Wellesley-Hunnewell,03170025,  96.3,   6.6,  25.6,   3.6,   0.0
Wellfleet-Wellfleet Elementary,03180005,  93.2,  11.3,  52.4,  18.5,  14.5
West Boylston-Major Edwards Elementary,03220005,  96.0,   7.0,  25.8,   4.6,  24.2
West Boylston-West Boylston Junior/Senior High,03220505,  95.4,   7.9,  27.2,   8.9,  26.0
West Bridgewater-Rose L Macdonald,03230003,  96.1,   6.9,  24.1,   4.8,   0.0
West Bridgewater-Spring Street School,03230005,  96.5,   5.9,  16.7,   6.0,   0.0
West Bridgewater-Howard School,03230305,  96.2,   6.8,  27.0,   5.5,   8.7
West Bridgewater-West Bridgewater Junior/Senior,03230505,  95.4,   8.1,  26.9,   6.5,  12.2
West Springfield-Philip G Coburn,03320007,  94.9,   8.5,  35.2,  14.1,  11.5
West Springfield-John R Fausey,03320010,  95.2,   8.3,  33.8,  11.0,   2.7
West Springfield-Memorial,03320025,  94.9,   8.7,  33.2,  11.9,   9.0
West Springfield-John Ashley,03320005,  93.1,  11.6,  50.0,  23.2,  15.4
West Springfield-Cowing Early Childhood,03320001,  88.0,  15.1,  54.1,  42.8,  31.4
West Springfield-Tatham,03320040,  96.2,   6.6,  21.8,   2.0,   1.6
West Springfield-West Springfield Middle,03320305,  95.4,   7.9,  30.8,  10.1,   5.5
West Springfield-West Springfield High,03320505,  94.2,  10.0,  32.9,  17.6,  14.6
West Springfield-Mittineague,03320030,  95.1,   8.0,  28.6,  14.6,   3.8
West Springfield-21st Century Skills Academy,03320515,  76.5,  36.9,  87.5,  75.0,  62.5
Westborough-J Harding Armstrong,03210005,  96.1,   6.6,  23.5,   6.3,   0.0
Westborough-Westborough High,03210505,  96.5,   6.2,  18.6,   5.4,  10.7
Westborough-Annie E Fales,03210010,  95.8,   7.4,  22.5,   6.9,   0.0
Westborough-Sarah W Gibbons Middle,03210305,  96.7,   5.9,  19.6,   4.9,   4.7
Westborough-Mill Pond School,03210045,  96.4,   6.3,  20.7,   3.7,   5.4
Westborough-Elsie A Hastings Elementary,03210025,  94.7,   8.6,  32.2,  12.8,   0.0
Westfield-Westfield High,03250505,  92.2,  13.4,  46.1,  22.8,  13.9
Westfield-Fort Meadow Early Childhood Center,03250003,  92.1,  11.6,  49.4,  26.8,   0.0
Westfield-Franklin Ave,03250015,  94.4,   9.7,  38.2,  14.3,  15.5
Westfield-Abner Gibbs,03250020,  95.0,   8.6,  35.2,  12.4,  14.6
Westfield-Highland,03250025,  94.2,   9.7,  42.4,  15.8,   3.4
Westfield-Munger Hill,03250033,  95.9,   7.3,  20.9,   6.7,   5.2
Westfield-Paper Mill,03250036,  95.1,   8.5,  33.5,   9.7,   8.3
Westfield-Southampton Road,03250040,  94.9,   9.0,  35.4,  12.0,   5.2
Westfield-Russell Elementary School,03250055,  96.2,   6.6,  24.1,   5.6,   0.0
Westfield-North Middle School,03250305,  95.0,   8.8,  33.1,  12.3,  11.5
Westfield-South Middle School,03250310,  93.4,  11.4,  43.3,  20.8,  17.5
Westfield-Westfield Technical Academy,03250605,  93.7,  10.9,  41.5,  19.7,   4.4
Westford-Abbot Elementary,03260004,  97.0,   5.4,  16.5,   2.2,   0.0
Westford-Rita E. Miller Elementary School,03260055,  96.2,   6.7,  20.5,   3.9,   0.0
Westford-Millennium Elementary,03260013,  93.5,  10.5,  39.7,  15.3,   0.0
Westford-Nabnasset,03260015,  96.4,   6.4,  20.7,   3.0,   0.0
Westford-Col John Robinson,03260025,  97.0,   5.2,  13.8,   1.3,   0.0
Westford-John A. Crisafulli Elementary School,03260045,  96.8,   5.7,  15.9,   2.9,   0.0
Westford-Westford Academy,03260505,  96.7,   5.8,  17.2,   4.0,   0.1
Westford-Day Elementary,03260007,  96.9,   5.6,  15.5,   3.9,   0.0
Westford-Blanchard Middle,03260310,  96.6,   6.0,  16.5,   3.5,   0.0
Westford-Stony Brook School,03260330,  96.8,   5.8,  16.0,   3.8,   0.0
Westhampton-Westhampton Elementary School,03270005,  95.6,   7.7,  29.8,   8.1,   0.0
Weston-Field Elementary School,03300012,  96.4,   6.3,  19.1,   5.2,   0.0
Weston-Woodland,03300015,  96.3,   6.5,  24.4,   2.6,   0.0
Weston-Country,03300010,  95.4,   8.2,  30.0,   7.8,   0.0
Weston-Weston Middle,03300305,  96.0,   7.0,  22.0,   5.3,   0.0
Weston-Weston High,03300505,  95.4,   8.0,  25.7,   8.5,   0.3
Westport-Westport Junior/Senior High School,03310515,  94.1,  10.3,  33.1,  15.7,  21.4
Westport-Westport Elementary,03310030,  95.9,   7.3,  24.7,   6.1,   4.7
Westport-Alice A Macomber,03310015,  95.7,   7.5,  27.6,   5.9,  13.8
Westwood-Westwood High,03350505,  95.8,   7.5,  26.9,   6.0,  22.9
Westwood-E W Thurston Middle,03350305,  96.7,   5.9,  20.0,   3.0,   0.1
Westwood-Westwood Integrated Preschool,03350050,  92.8,   9.5,  37.7,  13.2,   0.0
Westwood-William E Sheehan,03350025,  97.8,   4.0,   6.6,   0.9,   0.0
Westwood-Paul Hanlon,03350015,  96.8,   5.7,  16.7,   3.6,   0.0
Westwood-Downey,03350012,  96.6,   6.0,  22.5,   4.3,   0.0
Westwood-Deerfield School,03350010,  96.5,   6.1,  20.4,   2.9,   0.0
Westwood-Martha Jones,03350017,  97.3,   4.8,  10.5,   2.7,   0.0
Weymouth-Frederick C Murphy,03360050,  95.6,   7.8,  31.2,   7.6,  31.2
Weymouth-Thomas V Nash,03360060,  95.4,   8.1,  32.8,   8.3,  31.4
Weymouth-Academy Avenue,03360005,  95.6,   7.7,  29.6,   7.5,  29.6
Weymouth-Johnson Early Childhood Center,03360003,  94.7,   6.7,  23.7,  14.7,  23.7
Weymouth-Weymouth High School,03360505,  92.7,  12.4,  44.0,  22.0,  29.9
Weymouth-Maria Weston Chapman Middle School,03360020,  93.1,  12.1,  43.2,  19.3,  32.5
Weymouth-Wessagusset,03360110,  95.2,   8.3,  30.6,   8.3,  30.6
Weymouth-Thomas W. Hamilton Primary School,03360105,  95.0,   8.7,  32.4,  10.8,  32.4
Weymouth-Ralph Talbot,03360085,  95.8,   7.3,  27.3,   6.0,  22.1
Weymouth-William Seach,03360080,  94.7,   8.8,  34.5,  12.9,  34.2
Weymouth-Lawrence W Pingree,03360065,  95.4,   8.0,  30.7,   7.3,  30.7
Weymouth-Abigail Adams Middle School,03360310,  95.0,   8.8,  33.8,  10.6,  28.0
Whately-Whately Elementary,03370005,  94.6,   9.4,  39.6,  10.4,  29.9
Whitman-Hanson-Maquan Elementary,07800025,  95.3,   8.1,  29.0,  10.3,   0.0
Whitman-Hanson-John H Duval,07800030,  95.2,   8.4,  36.2,   7.2,   0.0
Whitman-Hanson-Louise A Conley,07800010,  95.6,   7.7,  30.3,   6.1,   0.0
Whitman-Hanson-Indian Head,07800035,  95.6,   7.7,  31.9,   4.6,   0.0
Whitman-Hanson-Whitman Middle,07800310,  94.3,  10.1,  43.2,  15.9,   0.0
Whitman-Hanson-Hanson Middle School,07800315,  95.8,   7.5,  27.8,   7.6,   0.3
Whitman-Hanson-Whitman Hanson Regional,07800505,  93.3,  11.4,  42.0,  18.5,   0.0
Whittier Regional Vocational Technical-Whittier Regional Vocational,08850605,  96.1,   6.7,  11.2,   3.2,   9.7
Williamsburg-Anne T. Dunphy School,03400020,  95.7,   7.5,  31.5,   6.5,   0.0
Williamstown-Williamstown Elementary,03410010,  94.5,   9.6,  39.4,  12.3,  26.0
Wilmington-West Intermediate,03420080,  96.7,   5.8,  19.1,   2.8,  15.5
Wilmington-North Intermediate,03420060,  96.1,   7.0,  26.6,   4.9,  20.7
Wilmington-Boutwell,03420005,  95.3,   7.6,  30.1,   8.0,   5.5
Wilmington-Woburn Street,03420020,  96.2,   6.8,  23.3,   5.7,   2.1
Wilmington-Wildwood,03420015,  95.2,   7.8,  27.8,   9.3,   5.4
Wilmington-Wilmington Middle School,03420330,  96.1,   7.0,  22.6,   5.2,  12.4
Wilmington-Wilmington High,03420505,  95.5,   7.7,  26.0,   9.2,   7.9
Wilmington-Shawsheen Elementary,03420025,  96.3,   6.5,  22.2,   2.3,   6.8
Winchendon-Toy Town Elementary,03430050,  95.1,   8.4,  34.7,  12.2,  28.4
Winchendon-Winchendon PreSchool Program,03430010,  93.5,  10.9,  41.3,  18.8,   0.0
Winchendon-Murdock High School,03430515,  92.8,  12.3,  48.5,  23.3,  43.9
Winchendon-Murdock Academy for Success,03430405,  79.3,  31.9,  78.8,  63.6,  63.6
Winchendon-Murdock Middle School,03430315,  94.0,  10.3,  43.6,  16.6,  34.3
Winchendon-Memorial,03430040,  94.8,   8.6,  34.3,  11.7,  23.0
Winchester-Ambrose Elementary,03440045,  96.2,   6.7,  23.1,   2.8,  22.1
Winchester-Lincoln Elementary,03440005,  96.3,   6.6,  22.0,   3.0,   6.9
Winchester-McCall Middle,03440305,  96.0,   7.2,  25.1,   4.8,   2.1
Winchester-Vinson-Owen Elementary,03440025,  96.1,   7.0,  25.2,   5.9,  25.2
Winchester-Muraco Elementary,03440040,  96.5,   6.3,  22.4,   3.4,  22.4
Winchester-Winchester High School,03440505,  95.4,   8.0,  26.2,   8.6,   6.0
Winchester-Lynch Elementary,03440020,  96.5,   6.3,  21.3,   5.5,  21.3
Winthrop-William P. Gorman/Fort Banks Elementary,03460015,  93.9,  10.5,  41.9,  16.0,  38.5
Winthrop-Arthur T. Cummings Elementary School,03460020,  95.4,   8.0,  28.0,   8.8,   0.0
Winthrop-Winthrop Middle School,03460305,  95.0,   8.7,  33.8,  13.1,  12.9
Winthrop-Winthrop High School,03460505,  94.0,  10.0,  37.5,  16.1,   0.0
Woburn-Daniel L Joyce Middle School,03470410,  95.7,   7.6,  28.5,   6.6,  23.5
Woburn-John F Kennedy Middle School,03470405,  95.6,   7.7,  30.5,   8.1,  25.7
Woburn-Mary D Altavesta,03470065,  94.5,   9.0,  40.6,  14.2,  38.3
Woburn-Wyman,03470060,  96.7,   5.8,  18.5,   3.8,  18.5
Woburn-Malcolm White,03470055,  95.8,   7.4,  26.8,   7.9,   0.0
Woburn-Daniel P Hurld,03470020,  96.4,   6.4,  23.1,   4.2,  22.7
Woburn-Clyde Reeves,03470040,  96.4,   6.3,  20.9,   4.3,  20.9
Woburn-Linscott-Rumford,03470025,  95.7,   7.4,  27.4,  11.2,  27.4
Woburn-Goodyear Elementary School,03470005,  96.2,   6.7,  21.4,   5.8,  16.5
Woburn-Woburn High,03470505,  93.2,  11.6,  39.1,  18.5,  26.0
Woburn-Shamrock,03470043,  94.4,   9.5,  39.5,  13.8,  39.5
Worcester-Quinsigamond,03480210,  95.3,   8.0,  31.0,  10.2,  29.9
Worcester-Rice Square,03480215,  94.9,   8.4,  32.7,  14.0,  31.6
Worcester-Roosevelt,03480220,  95.2,   8.3,  28.7,  11.2,  27.9
Worcester-Worcester Arts Magnet School,03480225,  96.9,   5.5,  16.5,   4.9,  16.3
Worcester-Tatnuck,03480230,  96.5,   6.0,  19.6,   6.5,  19.3
Worcester-Thorndyke Road,03480235,  96.3,   6.4,  21.7,   7.4,  18.9
Worcester-Union Hill School,03480240,  95.2,   8.0,  34.2,  10.4,  33.8
Worcester-West Tatnuck,03480260,  95.6,   7.5,  22.8,   7.9,  22.8
Worcester-Vernon Hill School,03480280,  94.3,   9.3,  38.2,  17.5,  35.9
Worcester-University Pk Campus School,03480285,  95.6,   7.8,  25.3,  11.8,  21.1
Worcester-Claremont Academy,03480350,  93.1,  11.6,  41.3,  20.1,  36.4
Worcester-Burncoat Middle School,03480405,  94.9,   8.8,  32.0,  13.1,  30.2
Worcester-Forest Grove Middle,03480415,  95.3,   8.1,  29.1,  12.2,  25.1
Worcester-Worcester East Middle,03480420,  93.9,  10.4,  43.9,  18.0,  34.8
Worcester-Sullivan Middle,03480423,  94.1,  10.2,  38.9,  17.8,  33.1
Worcester-Head Start,03480002,  92.9,  10.5,  47.0,  24.0,  42.1
Worcester-Belmont Street Community,03480020,  94.5,   9.1,  38.7,  12.8,  36.5
Worcester-Wawecus Road School,03480026,  96.1,   6.7,  21.4,   5.0,  21.4
Worcester-Woodland Academy,03480030,  95.7,   7.4,  28.0,   9.0,  26.9
Worcester-Burncoat Street,03480035,  95.0,   8.8,  34.5,  10.5,  33.8
Worcester-Canterbury,03480045,  95.0,   8.5,  32.5,  11.9,  30.9
Worcester-Chandler Elementary Community,03480050,  95.0,   8.5,  35.7,  13.4,  35.3
Worcester-Chandler Magnet,03480052,  95.6,   7.2,  27.3,   9.2,  26.7
Worcester-City View,03480053,  94.2,   9.7,  38.7,  15.7,  36.3
Worcester-Clark St Community,03480055,  94.2,   9.4,  40.2,  18.8,  32.6
Worcester-Columbus Park,03480060,  94.6,   9.1,  33.6,  17.4,  31.9
Worcester-Norrback Avenue,03480202,  96.0,   6.8,  24.4,  10.6,  23.6
Worcester-Nelson Place,03480200,  96.3,   6.5,  18.1,   5.5,  17.9
Worcester-Midland Street,03480185,  96.9,   5.5,  12.2,   4.4,  11.8
Worcester-Francis J McGrath Elementary,03480177,  96.0,   6.5,  20.6,   6.7,  19.8
Worcester-May Street,03480175,  96.5,   6.0,  19.1,   3.1,  18.5
Worcester-Lincoln Street,03480160,  94.7,   8.6,  35.1,  13.5,  28.0
Worcester-Worcester Technical High,03480605,  96.2,   6.7,  23.9,   5.5,  19.0
Worcester-South High Community,03480520,  90.6,  15.6,  55.3,  31.7,  47.9
Worcester-North High,03480515,  90.9,  14.7,  52.6,  30.4,  45.9
Worcester-Lake View,03480145,  96.8,   5.6,  17.9,   3.7,  17.6
Worcester-Burncoat Senior High,03480503,  92.5,  12.5,  46.2,  23.0,  41.3
Worcester-Doherty Memorial High,03480512,  93.6,  10.8,  39.9,  18.9,  32.1
Worcester-Flagg Street,03480090,  96.6,   5.9,  20.0,   2.2,  19.8
Worcester-Elm Park Community,03480095,  94.3,   9.4,  40.2,  16.5,  38.4
Worcester-Goddard School/Science Technical,03480100,  95.9,   6.9,  25.2,   8.4,  19.8
Worcester-Gates Lane,03480110,  95.5,   7.5,  30.7,   9.9,  29.6
Worcester-Grafton Street,03480115,  94.9,   8.4,  33.7,  14.0,  31.7
Worcester-Heard Street,03480136,  97.3,   4.8,   9.7,   2.0,   9.4
Worcester-Jacob Hiatt Magnet,03480140,  95.9,   7.2,  27.7,   6.6,  27.5
Worthington-R. H. Conwell,03490010,  95.2,   8.3,  34.3,   7.5,   0.0
Wrentham-Charles E Roderick,03500010,  95.7,   7.6,  28.9,   6.5,   0.0
Wrentham-Delaney,03500003,  95.8,   7.1,  25.6,   6.6,   0.3
