2018 MCAS Achievement Results,,,,,,,,,,,,,,,,
School Name,School Code,Subject,P+A #,P+A %,A #,A %,P #,P %,NI #,NI %,W/F #,W/F %,No. of Students Included,CPI,Ave. SGP,Included In Ave. SGP
Boston - Boston Latin Academy,00350545,SCIENCE AND TECH/ENG,257,94,110,40,147,54,16,6,1,0,274,  97.5,N/A,N/A
Boston - Brighton High,00350505,ENGLISH LANGUAGE ARTS,61,72,8,9,53,62,18,21,6,7,85,  89.1,  27.6,51
Boston - Brighton High,00350505,MATHEMATICS,39,46,10,12,29,34,31,36,15,18,85,  75.6,  38.8,49
Boston - Brighton High,00350505,SCIENCE AND TECH/ENG,30,39,6,8,24,32,29,38,17,22,76,  69.1,N/A,N/A
Boston - Charlestown High,00350515,ENGLISH LANGUAGE ARTS,101,58,12,7,89,51,43,25,29,17,173,  84.7,  38.7,92
Boston - Charlestown High,00350515,MATHEMATICS,83,47,38,22,45,26,46,26,46,26,175,  76.9,  58.2,96
Boston - Charlestown High,00350515,SCIENCE AND TECH/ENG,24,18,2,1,22,16,71,53,39,29,134,  65.1,N/A,N/A
Boston - Community Academy of Science and Health,00350581,ENGLISH LANGUAGE ARTS,31,53,4,7,27,46,13,22,15,25,59,  90.7,  39.9,29
Boston - Community Academy of Science and Health,00350581,MATHEMATICS,17,29,5,8,12,20,19,32,23,39,59,  72.9,  48.7,30
Boston - Community Academy of Science and Health,00350581,SCIENCE AND TECH/ENG,8,19,1,2,7,17,17,40,17,40,42,  57.1,N/A,N/A
Boston - Dearborn,00350074,ENGLISH LANGUAGE ARTS,23,70,4,12,19,58,9,27,1,3,33,  87.1,  43.4,29
Boston - Dearborn,00350074,MATHEMATICS,18,55,8,24,10,30,13,39,2,6,33,  81.1,  66.4,30
Boston - Dearborn,00350074,SCIENCE AND TECH/ENG,15,47,1,3,14,44,16,50,1,3,32,  78.9,N/A,N/A
Boston - Dr. William Henderson Upper,00350426,ENGLISH LANGUAGE ARTS,38,78,7,14,31,63,9,18,2,4,49,  93.9,  47.7,44
Boston - Dr. William Henderson Upper,00350426,MATHEMATICS,21,45,5,11,16,34,15,32,11,23,47,  73.9,  33.9,41
Boston - Dr. William Henderson Upper,00350426,SCIENCE AND TECH/ENG,10,23,0,0,10,23,25,57,9,20,44,  63.6,N/A,N/A
Boston - East Boston High,00350530,ENGLISH LANGUAGE ARTS,164,74,53,24,111,50,43,19,15,7,222,  90.3,  57.5,140
Boston - East Boston High,00350530,MATHEMATICS,134,61,73,33,61,28,50,23,35,16,219,  81.4,  68.8,135
Boston - East Boston High,00350530,SCIENCE AND TECH/ENG,93,47,27,14,66,34,77,39,26,13,196,  77.4,N/A,N/A
Boston - Excel High School,00350522,ENGLISH LANGUAGE ARTS,60,67,13,14,47,52,19,21,11,12,90,  83.6,  35.4,78
Boston - Excel High School,00350522,MATHEMATICS,51,56,24,26,27,30,27,30,13,14,91,  77.7,  40.8,75
Boston - Excel High School,00350522,SCIENCE AND TECH/ENG,25,36,3,4,22,31,35,50,10,14,70,  70.4,N/A,N/A
Boston - Fenway High School,00350540,ENGLISH LANGUAGE ARTS,74,81,29,32,45,49,11,12,6,7,91,  91.2,  50.0,79
Boston - Fenway High School,00350540,MATHEMATICS,62,67,22,24,40,43,24,26,6,7,92,  85.3,  42.4,83
Boston - Fenway High School,00350540,SCIENCE AND TECH/ENG,49,56,8,9,41,47,37,42,2,2,88,  82.7,N/A,N/A
Boston - Horace Mann School for the Deaf,00350750,ENGLISH LANGUAGE ARTS,5,50,0,0,5,50,3,30,2,20,10,  82.5, ,8
Boston - Horace Mann School for the Deaf,00350750,MATHEMATICS,1,10,0,0,1,10,5,50,4,40,10,  55.0, ,7
Boston - Horace Mann School for the Deaf,00350750,SCIENCE AND TECH/ENG,0,0,0,0,0,0,8,80,2,20,10,  60.0,N/A,N/A
Boston - Jeremiah E Burke High,00350525,ENGLISH LANGUAGE ARTS,68,88,8,10,60,78,9,12,0,0,77,  96.1,  47.0,45
Boston - Jeremiah E Burke High,00350525,MATHEMATICS,52,68,22,29,30,39,22,29,3,4,77,  88.0,  63.7,47
Boston - Jeremiah E Burke High,00350525,SCIENCE AND TECH/ENG,13,33,0,0,13,33,26,65,1,3,40,  70.6,N/A,N/A
Boston - Lyon Upper 9-12,00350655,ENGLISH LANGUAGE ARTS,25,83,3,10,22,73,5,17,0,0,30,  95.0,  30.3,24
Boston - Lyon Upper 9-12,00350655,MATHEMATICS,11,38,1,3,10,34,11,38,7,24,29,  68.1,  21.6,22
Boston - Lyon Upper 9-12,00350655,SCIENCE AND TECH/ENG,2,9,0,0,2,9,17,74,4,17,23,  57.6,N/A,N/A
Boston - Madison Park High,00350537,ENGLISH LANGUAGE ARTS,104,59,9,5,95,54,39,22,32,18,175,  82.7,  40.5,133
Boston - Madison Park High,00350537,MATHEMATICS,55,33,16,9,39,23,64,38,50,30,169,  66.6,  42.0,124
Boston - Madison Park High,00350537,SCIENCE AND TECH/ENG,17,12,0,0,17,12,86,60,40,28,143,  57.7,N/A,N/A
Boston - Margarita Muniz Academy,00350549,ENGLISH LANGUAGE ARTS,47,76,12,19,35,56,10,16,5,8,62,  88.7,  56.0,52
Boston - Margarita Muniz Academy,00350549,MATHEMATICS,32,52,9,15,23,38,19,31,10,16,61,  76.2,  51.0,52
Boston - Margarita Muniz Academy,00350549,SCIENCE AND TECH/ENG,17,33,0,0,17,33,22,42,13,25,52,  62.0,N/A,N/A
Boston - New Mission High School,00350542,ENGLISH LANGUAGE ARTS,68,99,40,58,28,41,1,1,0,0,69,  99.6,  67.0,67
Boston - New Mission High School,00350542,MATHEMATICS,65,94,46,67,19,28,4,6,0,0,69,  98.6,  74.1,65
Boston - New Mission High School,00350542,SCIENCE AND TECH/ENG,33,52,3,5,30,48,30,48,0,0,63,  84.9,N/A,N/A
Boston - O'Bryant School Math/Science,00350575,ENGLISH LANGUAGE ARTS,260,100,163,63,97,37,0,0,0,0,260, 100.0,  48.0,249
Boston - O'Bryant School Math/Science,00350575,MATHEMATICS,255,98,216,83,39,15,4,2,0,0,259,  99.6,  50.8,247
Boston - O'Bryant School Math/Science,00350575,SCIENCE AND TECH/ENG,228,89,92,36,136,53,27,11,0,0,255,  96.9,N/A,N/A
Boston - Quincy Upper School,00350565,ENGLISH LANGUAGE ARTS,44,80,5,9,39,71,4,7,7,13,55,  88.2,  40.2,49
Boston - Quincy Upper School,00350565,MATHEMATICS,33,62,10,19,23,43,8,15,12,23,53,  78.3,  44.4,46
Boston - Quincy Upper School,00350565,SCIENCE AND TECH/ENG,20,38,2,4,18,34,24,45,9,17,53,  70.8,N/A,N/A
Boston - Snowden International School at Copley,00350690,ENGLISH LANGUAGE ARTS,81,90,15,17,66,73,8,9,1,1,90,  95.6,  43.9,82
Boston - Snowden International School at Copley,00350690,MATHEMATICS,46,53,16,18,30,34,29,33,12,14,87,  77.9,  39.7,80
Boston - Snowden International School at Copley,00350690,SCIENCE AND TECH/ENG,30,37,2,2,28,34,37,45,15,18,82,  68.3,N/A,N/A
Boston - TechBoston Academy,00350657,ENGLISH LANGUAGE ARTS,110,83,25,19,85,64,19,14,3,2,132,  93.9,  51.9,115
Boston - TechBoston Academy,00350657,MATHEMATICS,51,39,16,12,35,27,51,39,28,22,130,  68.8,  49.8,113
Boston - TechBoston Academy,00350657,SCIENCE AND TECH/ENG,53,43,4,3,49,40,52,42,18,15,123,  71.7,N/A,N/A
Boston - The English High,00350535,ENGLISH LANGUAGE ARTS,64,78,13,16,51,62,18,22,0,0,82,  93.0,  57.5,43
Boston - The English High,00350535,MATHEMATICS,36,43,5,6,31,37,28,34,19,23,83,  71.4,  47.3,44
Boston - The English High,00350535,SCIENCE AND TECH/ENG,27,35,0,0,27,35,43,55,8,10,78,  70.8,N/A,N/A
Boston - Urban Science Academy,00350579,ENGLISH LANGUAGE ARTS,54,90,16,27,38,63,4,7,2,3,60,  97.9,  54.7,51
Boston - Urban Science Academy,00350579,MATHEMATICS,36,62,13,22,23,40,15,26,7,12,58,  83.6,  46.7,49
Boston - Urban Science Academy,00350579,SCIENCE AND TECH/ENG,19,43,1,2,18,41,22,50,3,7,44,  76.1,N/A,N/A
Boston - West Roxbury Academy,00350658,ENGLISH LANGUAGE ARTS,50,79,11,17,39,62,8,13,5,8,63,  90.5,  45.0,35
Boston - West Roxbury Academy,00350658,MATHEMATICS,33,54,9,15,24,39,17,28,11,18,61,  77.5,  38.6,36
Boston - West Roxbury Academy,00350658,SCIENCE AND TECH/ENG,11,26,1,2,10,23,26,60,6,14,43,  64.5,N/A,N/A
Boston - William McKinley,00350363,ENGLISH LANGUAGE ARTS,13,59,3,14,10,45,8,36,1,5,22,  84.1, ,14
Boston - William McKinley,00350363,MATHEMATICS,7,29,1,4,6,25,9,38,8,33,24,  62.5, ,13
Boston - William McKinley,00350363,SCIENCE AND TECH/ENG,2,13,0,0,2,13,10,63,4,25,16,  54.7,N/A,N/A
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,ENGLISH LANGUAGE ARTS,68,94,40,56,28,39,3,4,1,1,72,  98.6,  53.4,62
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,MATHEMATICS,66,92,39,54,27,38,5,7,1,1,72,  98.3,  48.7,62
Boston Collegiate Charter (District) - Boston Collegiate Charter School,04490305,SCIENCE AND TECH/ENG,59,94,20,32,39,62,3,5,1,2,63,  97.6,N/A,N/A
