2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Boston - Lyon K-8,00350004,      18.9, 100.0,   6.9 to 1,  79.9,  89.1
Boston - Lyon Upper 9-12,00350655,      17.3,  91.3,   7.2 to 1,  62.2,  79.4
Boston - Madison Park High,00350537,     100.3,  90.9,   8.6 to 1,  59.4,  72.4
Boston - Manassah E Bradley,00350215,      21.8,  95.6,  13.5 to 1,  85.0, 100.0
Boston - Margarita Muniz Academy,00350549,      27.9,  92.9,  10.7 to 1,  71.4,  78.5
Boston - Mario Umana Academy,00350656,      74.4,  97.7,  13.5 to 1,  77.7,  89.9
Boston - Mather,00350227,      40.8,  97.7,  14.9 to 1,  89.9,  89.7
Boston - Mattapan Early Elementary School,00350016,      24.6,  96.0,  11.8 to 1,  48.3,  75.7
Boston - Maurice J Tobin,00350229,      33.3,  91.3,  12.9 to 1,  70.4,  73.5
Boston - Michael J Perkins,00350231,      15.1, 100.0,  14.4 to 1,  93.3,  79.8
Boston - Mildred Avenue K-8,00350378,      42.9, 100.0,  12.8 to 1,  83.7,  81.5
Boston - Mission Hill School,00350382,      18.5, 100.0,  13.1 to 1,  78.4,  89.4
Boston - Mozart,00350237,      16.0,  93.8,  11.2 to 1,  81.2, 100.0
Boston - Nathan Hale,00350243,      10.3, 100.0,  15.4 to 1,  90.3,  98.2
Boston - New Mission High School,00350542,      33.4,  90.5,  11.7 to 1,  72.9,  97.3
Boston - O W Holmes,00350138,      27.5,  92.7,  12.6 to 1,  51.0,  84.2
Boston - O'Bryant School Math/Science,00350575,      96.1,  93.0,  16.3 to 1,  78.4,  88.3
Boston - Oliver Hazard Perry,00350255,      21.1, 100.0,  10.4 to 1,  95.2,  85.7
Boston - Orchard Gardens,00350257,      68.2,  91.2,  13.3 to 1,  80.1,  91.1
Boston - Patrick J Kennedy,00350264,      22.3, 100.0,  13.7 to 1,  80.5,  86.6
Boston - Paul A Dever,00350268,      34.3,  76.6,  10.4 to 1,  32.3,  73.4
Boston - Pauline Agassiz Shaw Elementary School,00350014,      17.9,  88.8,  14.3 to 1,  55.5,  77.8
Boston - Phineas Bates,00350278,      22.7, 100.0,  11.5 to 1,  90.6,  96.5
Boston - Quincy Upper School,00350565,      45.9,  86.6,  11.1 to 1,  75.6,  82.6
Boston - Rafael Hernandez,00350691,      24.5,  95.9,  15.9 to 1,  79.7,  91.8
Boston - Richard J Murphy,00350240,      60.9, 100.0,  15.5 to 1,  93.6,  96.7
Boston - Roger Clap,00350298,      12.1, 100.0,  13.0 to 1,  91.4, 100.0
Boston - Samuel Adams,00350302,      24.4, 100.0,  11.9 to 1,  81.9,  87.6
