2017-18 Teacher Data - All Teachers,,,,,,
School Name,School Code,Total # of Teachers (FTE),% of Teachers Licensed,Student / Teacher Ratio,Percent of Experienced Teachers,Percent of Teachers without Waiver or Provisional License
Seekonk - Dr. Kevin M. Hurley Middle School,02650405,      44.1, 100.0,  11.4 to 1,  87.8,  93.2
Seekonk - George R Martin,02650007,      35.7, 100.0,  13.4 to 1,  94.4, 100.0
Seekonk - Mildred Aitken School,02650015,      31.7, 100.0,  13.5 to 1,  93.7, 100.0
Seekonk - Seekonk High,02650505,      45.2,  99.6,  13.2 to 1,  95.1,  95.6
Seven Hills Charter Public (District) - Seven Hills Charter School,04860105,      37.4,  86.6,  17.8 to 1,  34.7,  76.0
Sharon - Cottage Street,02660005,      26.6, 100.0,  19.5 to 1,  88.7,  98.8
Sharon - East Elementary,02660010,      27.2, 100.0,  18.1 to 1,  85.3,  98.8
Sharon - Heights Elementary,02660015,      28.2, 100.0,  18.6 to 1,  89.4,  95.3
Sharon - Sharon Early Childhood Center,02660001,       4.0, 100.0,  12.5 to 1, 100.0, 100.0
Sharon - Sharon High,02660505,      94.9,  96.8,  11.4 to 1,  82.2,  94.9
Sharon - Sharon Middle,02660305,      67.6, 100.0,  12.9 to 1,  87.4,  91.1
Shawsheen Valley Regional Vocational Technical - Shawsheen Valley Vocational Technical High School,08710605,     126.1,  98.4,  10.5 to 1,  89.4,  86.5
Sherborn - Pine Hill,02690010,      32.7, 100.0,  12.9 to 1,  89.3,  99.7
Shrewsbury - Beal School,02710005,      22.1,  94.9,  14.0 to 1,  83.6,  94.9
Shrewsbury - Calvin Coolidge,02710015,      29.6,  96.3,  14.0 to 1,  81.1,  97.0
Shrewsbury - Floral Street School,02710020,      42.7,  98.9,  17.6 to 1,  89.5, 100.0
Shrewsbury - Oak Middle School,02710030,      64.0,  98.5,  15.8 to 1,  85.5,  96.9
Shrewsbury - Parker Road Preschool,02710040,      10.0, 100.0,  23.5 to 1,  70.0,  90.0
Shrewsbury - Sherwood Middle School,02710305,      69.2,  95.2,  14.0 to 1,  81.4,  92.9
Shrewsbury - Shrewsbury Sr High,02710505,     116.0, 100.0,  15.8 to 1,  87.8,  92.8
Shrewsbury - Spring Street,02710035,      23.9,  99.4,  15.0 to 1,  82.3, 100.0
Shrewsbury - Walter J Paton,02710025,      21.1,  99.1,  16.2 to 1,  72.8,  90.5
Shutesbury - Shutesbury Elementary,02720005,      13.7,  95.4,   8.9 to 1,  80.8,  97.1
Silver Hill Horace Mann Charter (District) - Silver Hill Horace Mann Charter School,04770010,      35.2, 100.0,  15.9 to 1,  90.9,  94.3
Silver Lake - Silver Lake Regional High,07600505,      90.7,  98.9,  14.4 to 1,  94.4,  90.1
Silver Lake - Silver Lake Regional Middle School,07600405,      45.0, 100.0,  12.0 to 1,  88.9,  93.3
Sizer School: A North Central Charter Essential (District) - Sizer School: A North Central Charter Essential School,04740505,      34.8,  88.4,  10.3 to 1,  74.6,  82.7
Somerset - Chace Street,02730005,      29.8, 100.0,  14.1 to 1,  75.2,  97.0
Somerset - North Elementary,02730008,      34.4, 100.0,  14.2 to 1,  82.3,  96.8
Somerset - Somerset Middle School,02730305,      48.0, 100.0,  12.6 to 1,  89.6,  95.8
Somerset - South,02730015,      18.6, 100.0,  14.8 to 1, 100.0, 100.0
Somerset Berkley Regional School District - Somerset Berkley Regional High School,07630505,      80.9, 100.0,  12.4 to 1,  90.7,  95.1
Somerville - Albert F. Argenziano School at Lincoln Park,02740087,      44.2, 100.0,  13.2 to 1,  83.5,  94.7
Somerville - Arthur D Healey,02740075,      44.1,  97.7,  10.2 to 1,  75.7,  97.7
Somerville - Benjamin G Brown,02740015,      16.2, 100.0,  14.3 to 1,  81.4, 100.0
Somerville - Capuano Early Childhood Center,02740005,      21.8,  95.4,  14.4 to 1,  88.9,  95.4
Somerville - E Somerville Community,02740111,      54.3,  98.2,  13.2 to 1,  78.5,  84.8
Somerville - Full Circle High School,02740510,      10.8, 100.0,   4.8 to 1,  60.2,  69.8
Somerville - John F Kennedy,02740083,      36.8, 100.0,  12.4 to 1,  77.2,  91.5
Somerville - Next Wave Junior High,02740410,       5.3, 100.0,   2.8 to 1,  85.5,  93.0
Somerville - Somerville High,02740505,     124.7,  98.0,   9.7 to 1,  79.2,  85.9
Somerville - West Somerville Neighborhood,02740115,      26.4, 100.0,  14.1 to 1,  81.6,  97.1
Somerville - Winter Hill Community,02740120,      43.0,  98.5,  10.7 to 1,  84.6,  97.7
South Hadley - Michael E. Smith Middle School,02780305,      48.4, 100.0,  11.8 to 1,  78.2,  88.6
South Hadley - Mosier,02780020,      27.0, 100.0,  15.6 to 1,  74.1,  92.6
South Hadley - Plains Elementary,02780015,      21.0, 100.0,  16.2 to 1,  90.5,  95.2
South Hadley - South Hadley High,02780505,      45.7, 100.0,  12.1 to 1,  88.6,  91.7
South Middlesex Regional Vocational Technical - Joseph P Keefe Technical High School,08290605,      81.0, 100.0,   9.0 to 1,  86.4,  84.0
South Shore Charter Public (District) - South Shore Charter Public School,04880550,      76.2,  85.5,  12.2 to 1,  63.2,  83.0
South Shore Regional Vocational Technical - So Shore Vocational Technical High,08730605,      63.7,  92.3,  10.2 to 1,  77.3,  76.6
Southampton - William E Norris,02750005,      37.5, 100.0,  13.7 to 1,  89.3,  97.3
Southborough - Albert S. Woodward Memorial School,02760050,      17.2, 100.0,  15.5 to 1,  88.4, 100.0
Southborough - Margaret A Neary,02760020,      17.6, 100.0,  14.7 to 1,  94.3, 100.0
Southborough - Mary E Finn School,02760008,      21.5, 100.0,  15.6 to 1,  92.6, 100.0
Southborough - P Brent Trottier,02760305,      36.7, 100.0,  12.5 to 1,  94.0,  94.5
Southbridge - Charlton Street,02770005,      32.2,  83.8,   9.6 to 1,  59.0, 100.0
Southbridge - Eastford Road,02770010,      28.0,  89.3,  14.0 to 1,  64.3,  89.3
Southbridge - Southbridge High School,02770515,      47.3,  93.3,  10.6 to 1,  64.4,  70.6
Southbridge - Southbridge Middle School,02770315,      48.1,  88.5,  10.0 to 1,  40.7,  67.5
Southbridge - West Street,02770020,      32.0, 100.0,   9.9 to 1,  71.8,  87.5
Southeastern Regional Vocational Technical - Southeastern Regional Vocational Technical,08720605,     117.0,  95.7,  12.2 to 1,  75.6,  82.9
Southern Berkshire - Mt Everett Regional,07650505,      37.0,  99.5,   8.2 to 1,  96.2,  97.3
Southern Berkshire - New Marlborough Central,07650018,       7.6, 100.0,  11.4 to 1,  68.4,  81.6
Southern Berkshire - Undermountain,07650035,      28.8, 100.0,  10.1 to 1,  88.2,  98.6
Southern Worcester County Regional Vocational Technical - Bay Path Regional Vocational Technical High School,08760605,     112.0,  95.5,  10.0 to 1,  77.7,  80.4
Southwick-Tolland-Granville Regional School District - Powder Mill School,07660315,      35.4,  97.2,  12.5 to 1,  91.5,  98.6
Southwick-Tolland-Granville Regional School District - Southwick Regional School,07660505,      66.0, 100.0,  10.9 to 1,  92.4,  92.4
Southwick-Tolland-Granville Regional School District - Woodland School,07660010,      31.9, 100.0,  11.2 to 1,  73.3,  98.5
Spencer-E Brookfield - David Prouty High,07670505,      28.0, 100.0,  10.5 to 1,  90.0,  92.8
Spencer-E Brookfield - East Brookfield Elementary,07670008,      19.5, 100.0,  11.8 to 1,  94.9,  94.9
Spencer-E Brookfield - Knox Trail Middle School,07670415,      30.0, 100.0,  13.9 to 1,  81.6,  90.0
Spencer-E Brookfield - Wire Village School,07670040,      34.5, 100.0,  12.3 to 1,  82.6,  97.1
Springfield - Alfred G. Zanetti Montessori Magnet School,02810095,      28.0,  96.4,  15.5 to 1,  89.3,  89.3
Springfield - Alice B Beal Elementary,02810175,      20.1, 100.0,  13.0 to 1,  90.0, 100.0
Springfield - Arthur T Talmadge,02810165,      19.6,  94.9,  12.9 to 1,  74.5, 100.0
Springfield - Balliet Middle School,02810360,      10.4, 100.0,   4.9 to 1,  61.3,  61.3
Springfield - Brightwood,02810025,      24.0,  95.8,  13.2 to 1,  83.3,  91.7
Springfield - Chestnut Academy,02810365,      36.8,  81.9,  11.4 to 1,  69.6,  84.3
Springfield - Chestnut Accelerated Middle School (Talented and Gifted),02810367,      24.1,  83.4,  13.1 to 1,  39.9,  60.6
Springfield - Conservatory of the Arts,02810475,      28.9,  95.3,  12.7 to 1,  79.2,  77.5
Springfield - Daniel B Brunton,02810035,      34.0, 100.0,  13.7 to 1,  91.2,  91.2
Springfield - Early Childhood Education Center,02810001,      13.0,  92.3,  13.1 to 1,  61.5,  92.3
Springfield - Edward P. Boland School,02810010,      54.9,  94.5,  14.3 to 1,  81.8,  90.9
Springfield - Elias Brookings,02810030,      27.9,  96.4,  12.3 to 1,  78.5,  89.3
Springfield - Forest Park Middle,02810325,      51.9,  96.1,  13.7 to 1,  88.5,  88.4
Springfield - Frank H Freedman,02810075,      20.0,  95.0,  17.6 to 1,  95.0, 100.0
Springfield - Frederick Harris,02810080,      41.0,  95.1,  15.5 to 1,  95.1, 100.0
Springfield - Gateway to College at Holyoke Community College,02810575,        .0, 100.0,###### to 1, 100.0, 100.0
Springfield - Gateway to College at Springfield Technical Community College,02810580,        .0, 100.0,###### to 1, 100.0, 100.0
Springfield - German Gerena Community School,02810195,      55.5,  95.5,  13.0 to 1,  79.3,  91.0
Springfield - Glenwood,02810065,      22.0, 100.0,  13.5 to 1,  77.3,  95.5
Springfield - Glickman Elementary,02810068,      24.0,  87.5,  13.9 to 1,  79.2,  91.7
Springfield - High School Of Commerce,02810510,      92.5,  86.7,  11.7 to 1,  64.2,  76.9
Springfield - Hiram L Dorman,02810050,      21.0, 100.0,  14.6 to 1,  76.2, 100.0
Springfield - Homer Street,02810085,      27.0, 100.0,  16.4 to 1,  74.1,  88.9
Springfield - Impact Prep at Chestnut,02810366,      17.5,  68.7,  13.1 to 1,  43.3,  64.7
Springfield - Indian Orchard Elementary,02810100,      46.0,  97.8,  13.9 to 1,  52.2,  89.1
Springfield - John F Kennedy Middle,02810328,      32.1,  75.0,  14.0 to 1,  12.5,  31.4
Springfield - John J Duggan Middle,02810320,      65.4,  88.5,  11.7 to 1,  66.4,  70.2
Springfield - Kensington International School,02810110,      20.0, 100.0,  15.5 to 1,  90.0,  95.0
Springfield - Liberty,02810115,      21.0, 100.0,  13.5 to 1,  90.5,  95.2
Springfield - Liberty Preparatory Academy,02810560,       3.2, 100.0,   3.8 to 1, 100.0,  68.5
Springfield - Lincoln,02810120,      26.0, 100.0,  15.5 to 1,  57.7,  88.5
Springfield - M Marcus Kiley Middle,02810330,      45.0,  86.7,  14.7 to 1,  77.8,  75.5
Springfield - Margaret C Ells,02810060,      15.0,  93.3,  16.0 to 1,  86.7,  73.3
Springfield - Mary A. Dryden Veterans Memorial School,02810125,      22.0, 100.0,  16.9 to 1,  90.9, 100.0
Springfield - Mary M Lynch,02810140,      19.0, 100.0,  14.0 to 1,  73.7,  89.5
Springfield - Mary M Walsh,02810155,      22.5, 100.0,  13.1 to 1,  68.8,  91.1
Springfield - Mary O Pottenger,02810145,      27.0, 100.0,  15.7 to 1,  88.9,  96.3
Springfield - Milton Bradley School,02810023,      39.0, 100.0,  14.0 to 1,  59.0,  89.7
Springfield - Rebecca M Johnson,02810055,      48.5,  93.7,  15.4 to 1,  89.6,  91.8
Springfield - Rise Academy at Van Sickle,02810480,      15.0,  86.7,  14.3 to 1,   6.7,  46.7
Springfield - Roger L. Putnam Vocational Technical Academy,02810620,     132.0,  95.4,  10.9 to 1,  83.7,  77.3
Springfield - STEM Middle Academy,02810350,      20.0, 100.0,  14.7 to 1,  75.0,  70.0
Springfield - Samuel Bowles,02810020,      20.0,  95.0,  16.9 to 1,  80.0,  95.0
Springfield - South End Middle School,02810355,      18.0,  99.2,  13.3 to 1,  94.4,  88.9
Springfield - Springfield Central High,02810500,     143.9,  97.9,  14.2 to 1,  89.6,  87.5
Springfield - Springfield High School,02810570,      16.3,  93.8,  13.0 to 1,  69.3,  84.7
Springfield - Springfield High School of Science and Technology,02810530,      88.2,  82.9,  14.8 to 1,  69.9,  77.5
Springfield - Springfield Public Day Elementary School,02810005,      10.2,  70.1,   7.2 to 1,  70.6,  80.4
Springfield - Springfield Public Day High School,02810550,      16.5,  81.9,   5.9 to 1,  69.7,  63.6
Springfield - Springfield Public Day Middle School,02810345,      12.2, 100.0,   4.1 to 1,  34.9,  75.6
Springfield - Springfield Vocational Academy,02810675,       3.0,  69.8,  31.2 to 1,  69.8, 100.0
Springfield - Sumner Avenue,02810160,      42.0,  92.9,  14.0 to 1,  76.2,  80.9
Springfield - The Springfield Renaissance School an Expeditionary Learning School,02810205,      49.0,  93.9,  14.2 to 1,  72.4,  89.8
Springfield - Thomas M Balliet,02810015,      20.0, 100.0,  15.9 to 1,  60.0,  85.0
Springfield - Van Sickle Academy,02810485,      32.0,  87.5,  12.6 to 1,  71.9,  68.8
Springfield - Warner,02810180,      22.0,  95.5,  13.2 to 1,  72.6,  81.7
Springfield - Washington,02810185,      27.0, 100.0,  15.4 to 1,  74.1, 100.0
Springfield - White Street,02810190,      28.0,  96.4,  16.3 to 1,  75.0,  85.7
Springfield - William N. DeBerry,02810045,      22.0,  95.5,  11.9 to 1,  77.3,  90.9
Springfield Preparatory Charter School (District) - Springfield Preparatory Charter School,35100205,      19.3,  59.6,  11.1 to 1,  10.4,  80.8
Stoneham - Colonial Park,02840005,      19.5, 100.0,  14.3 to 1,  55.4,  98.5
Stoneham - Robin Hood,02840025,      25.1, 100.0,  15.2 to 1,  90.0,  97.6
Stoneham - South,02840030,      22.5, 100.0,  14.2 to 1,  90.9,  95.3
Stoneham - Stoneham Central Middle School,02840405,      65.1,  98.5,  10.5 to 1,  78.7,  87.4
Stoneham - Stoneham High,02840505,      57.4, 100.0,  11.8 to 1,  87.7,  94.4
Stoughton - Edwin A Jones Early Childhood Center,02850012,       5.0, 100.0,  20.6 to 1,  60.0,  80.0
Stoughton - Helen Hansen Elementary,02850010,      22.7, 100.0,  10.2 to 1,  67.6,  88.7
Stoughton - Joseph H Gibbons,02850025,      27.8, 100.0,  12.8 to 1,  82.0,  97.2
Stoughton - Joseph R Dawe Jr Elementary,02850014,      28.5, 100.0,  12.5 to 1,  85.6, 100.0
Stoughton - O'Donnell Middle School,02850405,      70.9, 100.0,  11.6 to 1,  82.3,  95.8
Stoughton - South Elementary,02850015,      19.5, 100.0,  12.7 to 1,  76.7,  95.8
Stoughton - Stoughton High,02850505,      98.9,  99.0,  11.1 to 1,  77.4,  91.4
Stoughton - West Elementary,02850020,      32.5, 100.0,  11.5 to 1,  66.3,  98.8
Sturbridge - Burgess Elementary,02870005,      67.6, 100.0,  13.3 to 1,  94.1,  98.5
Sturgis Charter Public (District) - Sturgis Charter Public School,04890505,      86.6,  46.8,   9.4 to 1,  62.9,  83.3
Sudbury - Ephraim Curtis Middle,02880305,      74.5, 100.0,  12.6 to 1,  94.6,  94.6
Sudbury - General John Nixon Elementary,02880025,      28.1, 100.0,  12.1 to 1,  85.8, 100.0
Sudbury - Israel Loring School,02880015,      34.8, 100.0,  13.4 to 1,  77.0,  91.7
Sudbury - Josiah Haynes,02880010,      29.0, 100.0,  13.1 to 1,  92.4,  96.6
Sudbury - Peter Noyes,02880030,      41.5, 100.0,  13.7 to 1,  94.2, 100.0
Sunderland - Sunderland Elementary,02890005,      23.0, 100.0,  10.4 to 1,  77.3,  86.9
Sutton - Sutton Early Learning,02900003,      19.3, 100.0,  17.0 to 1,  92.2, 100.0
Sutton - Sutton Elementary,02900005,      22.9, 100.0,  14.3 to 1,  95.6, 100.0
Sutton - Sutton High School,02900510,      32.8, 100.0,  12.2 to 1,  92.4,  90.9
Sutton - Sutton Middle School,02900305,      24.0,  99.2,  15.2 to 1,  89.6, 100.0
Swampscott - Clarke,02910005,      19.6, 100.0,  10.1 to 1,  86.0,  95.4
Swampscott - Hadley,02910010,      22.5, 100.0,  12.7 to 1,  80.0,  97.8
Swampscott - Stanley,02910020,      22.5, 100.0,  13.2 to 1,  78.8,  97.3
Swampscott - Swampscott High,02910505,      60.5,  98.1,  11.2 to 1,  81.3,  85.1
Swampscott - Swampscott Middle,02910305,      64.6, 100.0,  11.7 to 1,  88.8,  92.3
Swansea - Elizabeth S Brown,02920006,      19.0, 100.0,  14.4 to 1,  89.5,  94.7
Swansea - Gardner,02920015,      15.6, 100.0,  16.7 to 1,  96.8,  96.8
Swansea - Joseph Case High,02920505,      50.2, 100.0,  10.7 to 1,  90.0,  92.0
Swansea - Joseph Case Jr High,02920305,      41.5,  97.6,  12.6 to 1,  90.4,  95.2
Swansea - Joseph G Luther,02920020,      15.5, 100.0,  14.7 to 1,  77.4,  93.5
Swansea - Mark G Hoyle Elementary,02920017,      18.2, 100.0,  14.0 to 1,  91.7,  97.2
TEC Connections Academy Commonwealth Virtual School District - TEC Connections Academy Commonwealth Virtual School,39020900,      57.4,  98.3,  26.8 to 1,  59.3,  71.7
Tantasqua - Tantasqua Regional Jr High,07700405,      45.2, 100.0,  13.1 to 1,  92.6,  97.3
Tantasqua - Tantasqua Regional Sr High,07700505,      77.1, 100.0,   9.4 to 1,  92.6,  98.9
Tantasqua - Tantasqua Regional Vocational,07700605,      13.3,  92.5,  35.3 to 1,  72.4,  67.5
Taunton - Benjamin Friedman Middle,02930315,      51.3, 100.0,  14.9 to 1,  74.2,  94.1
Taunton - East Taunton Elementary,02930010,      41.9, 100.0,  14.7 to 1,  86.6,  97.8
Taunton - Edmund Hatch Bennett,02930007,      23.5, 100.0,  14.1 to 1,  83.7, 100.0
Taunton - Edward F. Leddy Preschool,02930005,      12.0, 100.0,  28.2 to 1,  91.7,  91.7
Taunton - Elizabeth Pole,02930027,      41.6, 100.0,  15.0 to 1,  89.6,  97.4
Taunton - H H Galligan,02930057,      23.8, 100.0,  10.1 to 1,  88.5,  96.7
Taunton - Hopewell,02930035,      23.5, 100.0,  11.6 to 1,  83.7,  99.8
Taunton - John F Parker Middle,02930305,      33.5, 100.0,  14.8 to 1,  61.2,  79.7
Taunton - Joseph C Chamberlain,02930008,      35.6, 100.0,  14.5 to 1,  95.7,  92.7
Taunton - Joseph H Martin,02930042,      43.3, 100.0,  15.6 to 1,  81.5,  95.4
Taunton - Mulcahey Elementary School,02930015,      35.1, 100.0,  13.9 to 1,  81.5,  99.9
Taunton - Taunton Alternative High School,02930525,       6.0, 100.0,  15.8 to 1,  95.8, 100.0
Taunton - Taunton High,02930505,     160.7,  98.8,  16.4 to 1,  83.4,  86.6
Tewksbury - Heath-Brook,02950010,      23.5, 100.0,  14.9 to 1,  90.9, 100.0
Tewksbury - John F. Ryan,02950023,      45.8, 100.0,  11.2 to 1,  84.4,  89.1
Tewksbury - John W. Wynn Middle,02950305,      50.4, 100.0,  11.5 to 1,  80.6,  90.7
Tewksbury - L F Dewing,02950001,      37.2,  97.3,  16.3 to 1,  86.2, 100.0
Tewksbury - Louise Davy Trahan,02950025,      17.4, 100.0,  13.4 to 1,  63.2, 100.0
Tewksbury - North Street,02950020,      19.9, 100.0,  13.9 to 1,  83.6, 100.0
Tewksbury - Tewksbury Memorial High,02950505,      65.9, 100.0,  13.9 to 1,  75.9,  90.9
Tisbury - Tisbury Elementary,02960005,      36.7, 100.0,   8.3 to 1,  83.1,  81.7
Topsfield - Proctor Elementary,02980005,      19.3, 100.0,  13.2 to 1,  94.8, 100.0
Topsfield - Steward Elementary,02980010,      29.2, 100.0,  13.0 to 1,  82.9, 100.0
Tri-County Regional Vocational Technical - Tri-County Regional Vocational Technical,08780605,      90.7,  98.9,  10.9 to 1,  86.8,  86.0
Triton - Newbury Elementary,07730020,      36.9, 100.0,  12.2 to 1,  82.4,  94.6
Triton - Pine Grove,07730025,      33.2, 100.0,  13.6 to 1,  97.0, 100.0
Triton - Salisbury Elementary,07730015,      42.8, 100.0,  12.3 to 1,  93.0,  97.7
Triton - Triton Regional High School,07730505,      58.1, 100.0,  12.4 to 1,  87.1,  89.7
Triton - Triton Regional Middle School,07730405,      29.2,  96.6,  14.2 to 1,  77.8,  81.2
Truro - Truro Central,03000005,      16.2, 100.0,   6.4 to 1,  81.4, 100.0
Tyngsborough - Tyngsborough Elementary,03010020,      56.4, 100.0,  12.9 to 1,  88.0,  98.2
Tyngsborough - Tyngsborough High School,03010505,      34.7, 100.0,  13.7 to 1,  86.7,  84.3
Tyngsborough - Tyngsborough Middle,03010305,      34.7, 100.0,  11.8 to 1,  92.8,  83.1
UP Academy Charter School of Boston (District) - UP Academy Charter School of Boston,04800405,      42.5,  92.9,  11.8 to 1,  43.5,  60.0
UP Academy Charter School of Dorchester (District) - UP Academy Charter School of Dorchester,35050405,      56.4,  84.2,  13.1 to 1,  36.3,  49.6
Up-Island Regional - Chilmark Elementary,07740010,       4.6, 100.0,  11.4 to 1,  67.0,  95.6
Up-Island Regional - West Tisbury Elementary,07740020,      39.9,  98.8,   8.8 to 1,  83.3,  90.0
Upper Cape Cod Regional Vocational Technical - Upper Cape Cod Vocational Technical,08790605,      72.1,  97.2,   9.9 to 1,  76.4,  82.0
Uxbridge - Gateway to College,03040515,        .0,   0.0,N/A,,
Uxbridge - McCloskey Middle School,03040015,      25.5, 100.0,  15.8 to 1,  98.0,  96.1
Uxbridge - Taft Early Learning Center,03040005,      22.2, 100.0,  20.3 to 1, 100.0, 100.0
Uxbridge - Uxbridge High,03040505,      38.8, 100.0,  12.4 to 1,  81.9,  81.7
Uxbridge - Whitin Elementary School,03040020,      21.5, 100.0,  17.8 to 1, 100.0, 100.0
Veritas Preparatory Charter School (District) - Veritas Preparatory Charter School,04980405,      31.0,  51.6,  10.4 to 1,  16.1,  77.4
Wachusett - Central Tree Middle,07750310,      27.4, 100.0,  13.6 to 1,  92.7,  95.1
Wachusett - Chocksett Middle School,07750315,      26.3, 100.0,  13.9 to 1,  90.5, 100.0
Wachusett - Davis Hill Elementary,07750018,      26.5, 100.0,  17.0 to 1,  96.2,  92.4
Wachusett - Dawson,07750020,      29.9, 100.0,  15.4 to 1,  90.0,  96.7
Wachusett - Early Childhood Center,07750001,       8.0, 100.0,  20.3 to 1,  75.0,  87.5
Wachusett - Glenwood Elementary School,07750060,      23.9, 100.0,  14.3 to 1,  91.6,  98.6
Wachusett - Houghton Elementary,07750027,      23.8, 100.0,  15.8 to 1,  93.7, 100.0
Wachusett - Leroy E.Mayo,07750032,      29.0, 100.0,  16.4 to 1,  96.6, 100.0
Wachusett - Mountview Middle,07750305,      46.1, 100.0,  17.4 to 1,  89.2,  97.8
Wachusett - Naquag Elementary School,07750005,      21.2, 100.0,  16.1 to 1,  90.6,  93.7
Wachusett - Paxton Center,07750040,      31.7, 100.0,  14.8 to 1,  74.9,  90.5
Wachusett - Thomas Prince,07750045,      24.6, 100.0,  16.3 to 1,  65.1,  84.7
Wachusett - Wachusett Regional High,07750505,     144.0, 100.0,  14.8 to 1,  86.8,  90.3
Wakefield - Dolbeare,03050005,      30.6, 100.0,  14.6 to 1,  93.5, 100.0
Wakefield - Early Childhood Center at the Doyle School,03050001,       9.2, 100.0,  13.7 to 1,  67.4,  89.1
Wakefield - Galvin Middle School,03050310,      82.7, 100.0,  12.6 to 1,  88.4,  91.5
Wakefield - Greenwood,03050020,      12.3, 100.0,  18.0 to 1, 100.0, 100.0
Wakefield - Wakefield Memorial High,03050505,      82.4, 100.0,  12.5 to 1,  93.9,  93.9
Wakefield - Walton,03050040,      11.3, 100.0,  18.2 to 1,  98.2, 100.0
Wakefield - Woodville School,03050015,      28.4, 100.0,  15.2 to 1,  90.1, 100.0
Wales - Wales Elementary,03060005,      10.4, 100.0,  15.4 to 1,  98.1, 100.0
Walpole - Bird Middle,03070305,      35.2, 100.0,  13.9 to 1,  88.1,  96.9
Walpole - Boyden,03070010,      29.4, 100.0,  12.1 to 1,  96.6, 100.0
Walpole - Daniel Feeney Preschool Center,03070002,       5.0, 100.0,  14.6 to 1, 100.0, 100.0
Walpole - Eleanor N Johnson Middle,03070310,      34.9,  98.3,  12.8 to 1,  89.4, 100.0
Walpole - Elm Street School,03070005,      28.7, 100.0,  15.0 to 1,  90.6,  97.6
Walpole - Fisher,03070015,      36.9, 100.0,  12.3 to 1,  97.3, 100.0
Walpole - Old Post Road,03070018,      30.0, 100.0,  14.0 to 1,  96.7, 100.0
Walpole - Walpole High,03070505,      84.6,  99.3,  13.4 to 1,  87.5,  95.3
Waltham - Douglas MacArthur Elementary School,03080032,      36.7, 100.0,  12.0 to 1,  89.0,  97.3
Waltham - Henry Whittemore Elementary School,03080065,      40.0, 100.0,  10.8 to 1,  91.2,  94.4
Waltham - James Fitzgerald Elementary School,03080060,      37.1,  99.1,  11.8 to 1,  83.0,  97.2
Waltham - John F Kennedy Middle,03080404,      54.2, 100.0,   9.4 to 1,  85.9,  91.4
Waltham - John W. McDevitt Middle School,03080415,      61.3, 100.0,  10.3 to 1,  77.2,  90.2
Waltham - Northeast Elementary School,03080040,      43.1, 100.0,  13.8 to 1,  80.6,  97.1
Waltham - Thomas R Plympton Elementary School,03080050,      39.5,  97.3,  10.7 to 1,  68.6,  95.6
Waltham - Waltham Public Schools Dual Language Program,03080001,       4.9, 100.0,  16.3 to 1,  29.9,  95.9
Waltham - Waltham Sr High,03080505,     141.9, 100.0,  11.4 to 1,  74.1,  89.6
Waltham - William F. Stanley Elementary School,03080005,      43.6, 100.0,   9.9 to 1,  85.0,  98.5
Ware - Stanley M Koziol Elementary School,03090020,      28.6, 100.0,  14.4 to 1,  86.0, 100.0
Ware - Ware Junior/Senior High School,03090505,      38.8,  99.6,  12.0 to 1,  87.7,  85.6
Ware - Ware Middle School,03090305,      23.6, 100.0,  14.2 to 1,  85.6,  94.1
Wareham - John William Decas,03100003,      45.6, 100.0,  12.7 to 1,  85.7,  98.9
Wareham - Minot Forest,03100017,      33.4,  97.0,  14.7 to 1,  70.1,  97.0
Wareham - Wareham Cooperative Alternative School,03100315,       3.1,  92.0,  20.1 to 1,  44.1,  84.0
Wareham - Wareham Middle,03100305,      53.6, 100.0,  13.5 to 1,  81.3,  90.7
Wareham - Wareham Senior High,03100505,      53.7,  99.1,   8.5 to 1,  82.3,  85.4
Watertown - Cunniff,03140015,      31.3, 100.0,   9.8 to 1,  68.1,  94.9
Watertown - Hosmer,03140020,      59.1, 100.0,  11.5 to 1,  74.2,  93.2
Watertown - James Russell Lowell,03140025,      38.4, 100.0,  10.8 to 1,  86.5, 100.0
Watertown - Watertown High,03140505,      66.4,  99.4,  10.1 to 1,  80.7,  93.1
Watertown - Watertown Middle,03140305,      52.0, 100.0,  10.1 to 1,  86.7,  96.2
Wayland - Claypit Hill School,03150005,      43.1, 100.0,  12.6 to 1,  85.8,  97.7
Wayland - Happy Hollow School,03150015,      27.2, 100.0,  14.2 to 1,  92.6,  97.8
Wayland - Loker School,03150020,      20.6, 100.0,  13.6 to 1,  89.8,  96.1
Wayland - Wayland High School,03150505,      72.0,  99.6,  11.9 to 1,  88.6,  96.7
Wayland - Wayland Middle School,03150305,      54.9, 100.0,  11.6 to 1,  95.2,  94.2
Webster - Bartlett High School,03160505,      42.5,  98.8,  10.3 to 1,  89.4,  85.9
Webster - Park Avenue Elementary,03160015,      53.0, 100.0,  15.6 to 1,  73.6,  88.7
Webster - Webster Middle School,03160315,      42.4, 100.0,  13.9 to 1,  76.4,  83.5
Wellesley - Ernest F Upham,03170050,      19.7, 100.0,  12.0 to 1,  78.8,  85.8
Wellesley - Hunnewell,03170025,      17.4, 100.0,  14.3 to 1,  80.6,  90.0
Wellesley - John D Hardy,03170020,      22.7, 100.0,  13.0 to 1,  85.9,  99.1
Wellesley - Joseph E Fiske,03170015,      33.0, 100.0,  12.1 to 1,  84.8,  97.0
Wellesley - Katharine Lee Bates,03170005,      21.0, 100.0,  17.7 to 1,  95.2, 100.0
